time,FPS
1680117133,50
1680117134,46
1680117135,25
1680117136,52
1680117137,45
1680117138,47
1680117139,44
1680117140,45
1680117141,47
1680117142,48
1680117143,44
1680117144,49
1680117145,49
1680117146,47
1680117147,44
1680117148,47
1680117149,43
1680117150,49
1680117151,43
1680117152,40
1680117153,43
1680117154,45
1680117155,51
1680117156,53
1680117157,54
1680117158,52
1680117159,53
1680117160,50
1680117161,51
1680117162,51
1680117163,51
1680117164,52
1680117165,50
1680117166,53
1680117167,51
1680117168,52
1680117169,52
1680117170,52
1680117171,53
1680117172,54
1680117173,51
1680117174,55
1680117175,52
1680117176,58
1680117177,59
1680117178,56
1680117179,57
1680117180,57
1680117181,57
1680117182,57
1680117183,57
1680117184,51
1680117185,44
1680117186,44
1680117187,40
1680117188,41
1680117189,47
1680117190,45
1680117191,41
1680117192,46
1680117193,44
1680117194,42
1680117195,45
1680117196,43
1680117197,42
1680117198,44
1680117199,49
1680117200,47
1680117201,49
1680117202,54
1680117203,52
1680117204,49
1680117205,49
1680117206,47
1680117207,47
1680117208,52
1680117209,52
1680117210,46
1680117211,53
1680117212,46
1680117213,47
1680117214,46
1680117215,45
1680117216,48
1680117217,49
1680117218,50
1680117219,50
1680117220,51
1680117221,47
1680117222,50
1680117223,48
1680117224,50
1680117225,49
1680117226,48
1680117227,51
1680117228,47
1680117229,51
1680117230,49
1680117231,47
1680117232,47
1680117233,245
1680117234,255
1680117235,250
1680117236,255
1680117237,162
1680117238,189
1680117239,187
1680117240,187
1680117241,187
1680117242,186
1680117243,181
1680117244,178
1680117245,175
1680117246,179
1680117247,177
1680117248,177
1680117249,177
1680117250,179
1680117251,180
1680117252,180
1680117253,181
1680117254,182
1680117255,181
1680117256,181
1680117257,185
1680117258,185
1680117259,186
1680117260,186
1680117261,185
1680117262,252
1680117263,255
1680117264,253
1680117265,213
1680117266,206
1680117267,216
1680117268,216
1680117269,215
1680117270,215
1680117271,215
1680117272,213
1680117273,216
1680117274,213
1680117275,215
1680117276,213
1680117277,214
1680117278,217
1680117279,216
1680117280,214
1680117281,214
1680117282,215
1680117283,213
1680117284,213
1680117285,215
1680117286,213
1680117287,215
1680117288,215
1680117289,217
1680117290,230
1680117291,256
1680117292,254
1680117293,256
1680117294,188
1680117295,147
1680117296,137
1680117297,138
1680117298,137
1680117299,137
1680117300,136
1680117301,138
1680117302,142
1680117303,152
1680117304,163
1680117305,173
1680117306,187
1680117307,201
1680117308,209
1680117309,210
1680117310,210
1680117311,212
1680117312,213
1680117313,211
1680117314,212
1680117315,215
1680117316,213
1680117317,215
1680117318,216
1680117319,250
1680117320,255
1680117321,255
1680117322,254
1680117323,253
1680117324,256
1680117325,160
1680117326,126
1680117327,131
1680117328,130
1680117329,131
1680117330,130
1680117331,128
1680117332,125
1680117333,121
1680117334,120
1680117335,120
1680117336,124
1680117337,122
1680117338,124
1680117339,124
1680117340,124
1680117341,125
1680117342,124
1680117343,124
1680117344,123
1680117345,124
1680117346,126
1680117347,128
1680117348,131
1680117349,129
1680117350,200
1680117351,255
1680117352,255
1680117353,253
1680117354,255
1680117355,255
1680117356,255
1680117357,256
1680117358,255
1680117359,158
1680117360,193
1680117361,191
1680117362,188
1680117363,189
1680117364,192
1680117365,193
1680117366,195
1680117367,198
1680117368,196
1680117369,197
1680117370,195
1680117371,196
1680117372,193
1680117373,202
1680117374,210
1680117375,197
1680117376,194
1680117377,185
1680117378,174
1680117379,165
1680117380,164
1680117381,165
1680117382,159
1680117383,156
1680117384,159
1680117385,167
1680117386,172
1680117387,163
1680117388,162
1680117389,167
1680117390,172
1680117391,171
1680117392,170
1680117393,178
1680117394,177
1680117395,176
1680117396,187
1680117397,189
1680117398,187
1680117399,191
1680117400,199
1680117401,193
1680117402,194
1680117403,191
1680117404,191
1680117405,192
1680117406,190
1680117407,190
1680117408,192
1680117409,185
1680117410,175
1680117411,176
1680117412,175
1680117413,177
1680117414,178
1680117415,176
1680117416,177
1680117417,178
1680117418,178
1680117419,189
1680117420,199
1680117421,192
1680117422,197
1680117423,200
1680117424,195
1680117425,196
1680117426,200
1680117427,198
1680117428,197
1680117429,198
1680117430,195
1680117431,195
1680117432,195
1680117433,196
1680117434,195
1680117435,195
1680117436,184
1680117437,195
1680117438,193
1680117439,209
1680117440,211
1680117441,212
1680117442,212
1680117443,211
1680117444,206
1680117445,201
1680117446,200
1680117447,201
1680117448,208
1680117449,210
1680117450,194
1680117451,199
1680117452,198
1680117453,200
1680117454,199
1680117455,202
1680117456,191
1680117457,190
1680117458,185
1680117459,192
1680117460,191
1680117461,190
1680117462,190
1680117463,193
1680117464,189
1680117465,190
1680117466,196
1680117467,197
1680117468,191
1680117469,193
1680117470,193
1680117471,195
1680117472,201
1680117473,200
1680117474,203
1680117475,206
1680117476,207
1680117477,199
1680117478,199
1680117479,202
1680117480,197
1680117481,199
1680117482,197
1680117483,185
1680117484,186
1680117485,187
1680117486,188
1680117487,193
1680117488,196
1680117489,196
1680117490,197
1680117491,191
1680117492,194
1680117493,194
1680117494,195
1680117495,195
1680117496,195
1680117497,7
