time,FPS
1675129033,16
1675129034,46
1675129035,22
1675129036,52
1675129037,43
1675129038,42
1675129039,45
1675129040,43
1675129041,44
1675129042,48
1675129043,43
1675129044,44
1675129045,44
1675129046,42
1675129047,43
1675129048,43
1675129049,44
1675129050,44
1675129051,42
1675129052,37
1675129053,41
1675129054,43
1675129055,49
1675129056,44
1675129057,48
1675129058,44
1675129059,44
1675129060,43
1675129061,47
1675129062,42
1675129063,44
1675129064,41
1675129065,41
1675129066,45
1675129067,41
1675129068,42
1675129069,41
1675129070,44
1675129071,44
1675129072,44
1675129073,43
1675129074,44
1675129075,45
1675129076,47
1675129077,41
1675129078,42
1675129079,41
1675129080,55
1675129081,56
1675129082,54
1675129083,52
1675129084,54
1675129085,53
1675129086,52
1675129087,52
1675129088,53
1675129089,44
1675129090,44
1675129091,41
1675129092,42
1675129093,44
1675129094,43
1675129095,48
1675129096,44
1675129097,43
1675129098,39
1675129099,43
1675129100,46
1675129101,43
1675129102,44
1675129103,46
1675129104,50
1675129105,45
1675129106,43
1675129107,46
1675129108,44
1675129109,44
1675129110,45
1675129111,44
1675129112,50
1675129113,41
1675129114,41
1675129115,42
1675129116,47
1675129117,41
1675129118,45
1675129119,44
1675129120,42
1675129121,44
1675129122,45
1675129123,42
1675129124,42
1675129125,42
1675129126,44
1675129127,46
1675129128,43
1675129129,44
1675129130,48
1675129131,45
1675129132,41
1675129133,48
1675129134,42
1675129135,42
1675129136,44
1675129137,114
1675129138,253
1675129139,251
1675129140,254
1675129141,204
1675129142,114
1675129143,125
1675129144,125
1675129145,129
1675129146,127
1675129147,129
1675129148,131
1675129149,131
1675129150,128
1675129151,125
1675129152,129
1675129153,129
1675129154,131
1675129155,128
1675129156,131
1675129157,131
1675129158,131
1675129159,129
1675129160,127
1675129161,130
1675129162,134
1675129163,133
1675129164,133
1675129165,134
1675129166,157
1675129167,256
1675129168,255
1675129169,250
1675129170,166
1675129171,146
1675129172,157
1675129173,150
1675129174,159
1675129175,150
1675129176,157
1675129177,157
1675129178,158
1675129179,157
1675129180,157
1675129181,156
1675129182,155
1675129183,160
1675129184,156
1675129185,155
1675129186,155
1675129187,156
1675129188,155
1675129189,154
1675129190,155
1675129191,154
1675129192,159
1675129193,158
1675129194,154
1675129195,207
1675129196,256
1675129197,255
1675129198,247
1675129199,120
1675129200,138
1675129201,135
1675129202,137
1675129203,136
1675129204,135
1675129205,135
1675129206,135
1675129207,136
1675129208,138
1675129209,141
1675129210,144
1675129211,148
1675129212,152
1675129213,152
1675129214,153
1675129215,153
1675129216,153
1675129217,153
1675129218,156
1675129219,156
1675129220,157
1675129221,158
1675129222,158
1675129223,166
1675129224,256
1675129225,255
1675129226,256
1675129227,255
1675129228,254
1675129229,177
1675129230,123
1675129231,133
1675129232,132
1675129233,127
1675129234,131
1675129235,129
1675129236,125
1675129237,124
1675129238,122
1675129239,124
1675129240,126
1675129241,125
1675129242,127
1675129243,126
1675129244,124
1675129245,128
1675129246,128
1675129247,124
1675129248,127
1675129249,128
1675129250,127
1675129251,128
1675129252,128
1675129253,128
1675129254,181
1675129255,255
1675129256,256
1675129257,255
1675129258,256
1675129259,253
1675129260,255
1675129261,254
1675129262,135
1675129263,159
1675129264,159
1675129265,159
1675129266,159
1675129267,159
1675129268,162
1675129269,160
1675129270,159
1675129271,161
1675129272,161
1675129273,163
1675129274,160
1675129275,160
1675129276,160
1675129277,167
1675129278,165
1675129279,170
1675129280,175
1675129281,164
1675129282,152
1675129283,159
1675129284,157
1675129285,150
1675129286,145
1675129287,149
1675129288,155
1675129289,156
1675129290,145
1675129291,145
1675129292,147
1675129293,147
1675129294,147
1675129295,148
1675129296,151
1675129297,149
1675129298,159
1675129299,158
1675129300,156
1675129301,153
1675129302,154
1675129303,161
1675129304,161
1675129305,161
1675129306,160
1675129307,164
1675129308,156
1675129309,153
1675129310,148
1675129311,145
1675129312,151
1675129313,151
1675129314,153
1675129315,152
1675129316,154
1675129317,154
1675129318,154
1675129319,156
1675129320,156
1675129321,160
1675129322,158
1675129323,157
1675129324,151
1675129325,148
1675129326,148
1675129327,146
1675129328,149
1675129329,153
1675129330,153
1675129331,151
1675129332,153
1675129333,160
1675129334,160
1675129335,156
1675129336,157
1675129337,159
1675129338,159
1675129339,159
1675129340,162
1675129341,161
1675129342,169
1675129343,163
1675129344,163
1675129345,160
1675129346,156
1675129347,152
1675129348,148
1675129349,147
1675129350,149
1675129351,151
1675129352,150
1675129353,147
1675129354,145
1675129355,147
1675129356,147
1675129357,147
1675129358,152
1675129359,165
1675129360,159
1675129361,159
1675129362,158
1675129363,156
1675129364,156
1675129365,150
1675129366,142
1675129367,141
1675129368,145
1675129369,145
1675129370,146
1675129371,143
1675129372,141
1675129373,143
1675129374,141
1675129375,139
1675129376,137
1675129377,140
1675129378,142
1675129379,144
1675129380,139
1675129381,142
1675129382,137
1675129383,132
1675129384,132
1675129385,133
1675129386,127
1675129387,128
1675129388,130
1675129389,135
1675129390,135
1675129391,142
1675129392,145
1675129393,146
1675129394,136
1675129395,144
1675129396,138
1675129397,145
1675129398,144
1675129399,145
1675129400,144
1675129401,74
