time,FPS
1677712934,42
1677712935,51
1677712936,42
1677712937,34
1677712938,53
1677712939,52
1677712940,52
1677712941,50
1677712942,52
1677712943,52
1677712944,51
1677712945,53
1677712946,53
1677712947,46
1677712948,54
1677712949,42
1677712950,47
1677712951,51
1677712952,49
1677712953,48
1677712954,51
1677712955,51
1677712956,51
1677712957,54
1677712958,59
1677712959,57
1677712960,54
1677712961,55
1677712962,57
1677712963,57
1677712964,54
1677712965,58
1677712966,58
1677712967,55
1677712968,57
1677712969,57
1677712970,55
1677712971,57
1677712972,57
1677712973,54
1677712974,53
1677712975,51
1677712976,55
1677712977,55
1677712978,51
1677712979,53
1677712980,52
1677712981,53
1677712982,52
1677712983,52
1677712984,48
1677712985,49
1677712986,47
1677712987,49
1677712988,47
1677712989,47
1677712990,52
1677712991,50
1677712992,50
1677712993,50
1677712994,50
1677712995,54
1677712996,53
1677712997,59
1677712998,58
1677712999,58
1677713000,61
1677713001,59
1677713002,60
1677713003,57
1677713004,59
1677713005,59
1677713006,57
1677713007,56
1677713008,54
1677713009,59
1677713010,57
1677713011,58
1677713012,58
1677713013,59
1677713014,59
1677713015,57
1677713016,58
1677713017,58
1677713018,60
1677713019,57
1677713020,55
1677713021,58
1677713022,60
1677713023,57
1677713024,57
1677713025,58
1677713026,59
1677713027,57
1677713028,58
1677713029,59
1677713030,59
1677713031,58
1677713032,82
1677713033,255
1677713034,256
1677713035,252
1677713036,255
1677713037,107
1677713038,48
1677713039,47
1677713040,49
1677713041,50
1677713042,50
1677713043,48
1677713044,48
1677713045,51
1677713046,52
1677713047,48
1677713048,49
1677713049,52
1677713050,51
1677713051,51
1677713052,50
1677713053,53
1677713054,51
1677713055,52
1677713056,54
1677713057,51
1677713058,53
1677713059,53
1677713060,53
1677713061,50
1677713062,182
1677713063,256
1677713064,248
1677713065,255
1677713066,145
1677713067,56
1677713068,59
1677713069,60
1677713070,57
1677713071,58
1677713072,58
1677713073,58
1677713074,59
1677713075,58
1677713076,58
1677713077,56
1677713078,55
1677713079,58
1677713080,55
1677713081,55
1677713082,54
1677713083,55
1677713084,55
1677713085,57
1677713086,56
1677713087,56
1677713088,57
1677713089,58
1677713090,57
1677713091,152
1677713092,256
1677713093,255
1677713094,254
1677713095,123
1677713096,58
1677713097,57
1677713098,58
1677713099,56
1677713100,58
1677713101,57
1677713102,58
1677713103,56
1677713104,58
1677713105,58
1677713106,59
1677713107,60
1677713108,58
1677713109,62
1677713110,62
1677713111,63
1677713112,63
1677713113,63
1677713114,62
1677713115,63
1677713116,63
1677713117,62
1677713118,63
1677713119,63
1677713120,188
1677713121,255
1677713122,250
1677713123,256
1677713124,254
1677713125,255
1677713126,256
1677713127,256
1677713128,159
1677713129,52
1677713130,54
1677713131,53
1677713132,55
1677713133,51
1677713134,52
1677713135,50
1677713136,50
1677713137,50
1677713138,51
1677713139,52
1677713140,51
1677713141,53
1677713142,51
1677713143,51
1677713144,49
1677713145,50
1677713146,53
1677713147,51
1677713148,51
1677713149,53
1677713150,53
1677713151,52
1677713152,53
1677713153,125
1677713154,254
1677713155,255
1677713156,255
1677713157,255
1677713158,256
1677713159,255
1677713160,256
1677713161,255
1677713162,247
1677713163,44
1677713164,59
1677713165,60
1677713166,57
1677713167,58
1677713168,60
1677713169,61
1677713170,60
1677713171,61
1677713172,60
1677713173,61
1677713174,61
1677713175,59
1677713176,60
1677713177,59
1677713178,60
1677713179,62
1677713180,65
1677713181,65
1677713182,60
1677713183,56
1677713184,59
1677713185,58
1677713186,56
1677713187,54
1677713188,56
1677713189,56
1677713190,55
1677713191,50
1677713192,51
1677713193,51
1677713194,53
1677713195,53
1677713196,55
1677713197,55
1677713198,53
1677713199,55
1677713200,56
1677713201,57
1677713202,54
1677713203,56
1677713204,57
1677713205,57
1677713206,57
1677713207,59
1677713208,59
1677713209,58
1677713210,56
1677713211,54
1677713212,51
1677713213,52
1677713214,52
1677713215,54
1677713216,50
1677713217,52
1677713218,51
1677713219,51
1677713220,52
1677713221,51
1677713222,53
1677713223,55
1677713224,54
1677713225,52
1677713226,50
1677713227,52
1677713228,52
1677713229,52
1677713230,53
1677713231,53
1677713232,53
1677713233,52
1677713234,54
1677713235,53
1677713236,53
1677713237,52
1677713238,54
1677713239,53
1677713240,53
1677713241,51
1677713242,51
1677713243,51
1677713244,51
1677713245,51
1677713246,54
1677713247,51
1677713248,48
1677713249,48
1677713250,49
1677713251,48
1677713252,48
1677713253,49
1677713254,50
1677713255,50
1677713256,51
1677713257,50
1677713258,47
1677713259,48
1677713260,48
1677713261,49
1677713262,51
1677713263,57
1677713264,55
1677713265,56
1677713266,56
1677713267,54
1677713268,52
1677713269,51
1677713270,50
1677713271,49
1677713272,49
1677713273,50
1677713274,49
1677713275,48
1677713276,48
1677713277,47
1677713278,47
1677713279,47
1677713280,47
1677713281,49
1677713282,49
1677713283,52
1677713284,51
1677713285,51
1677713286,50
1677713287,48
1677713288,47
1677713289,49
1677713290,48
1677713291,48
1677713292,49
1677713293,50
1677713294,53
1677713295,54
1677713296,53
1677713297,3
