time,FPS
1676920484,154
1676920485,155
1676920486,157
1676920487,157
1676920488,158
1676920489,159
1676920490,161
1676920491,160
1676920492,159
1676920493,159
1676920494,159
1676920495,159
1676920496,156
1676920497,161
1676920498,165
1676920499,167
1676920500,168
1676920501,172
1676920502,153
1676920503,146
1676920504,151
1676920505,148
1676920506,145
1676920507,144
1676920508,149
1676920509,147
1676920510,149
1676920511,143
1676920512,144
1676920513,143
1676920514,145
1676920515,141
1676920516,140
1676920517,147
1676920518,143
1676920519,150
1676920520,155
1676920521,154
1676920522,150
1676920523,155
1676920524,159
1676920525,165
1676920526,162
1676920527,161
1676920528,163
1676920529,158
1676920530,154
1676920531,146
1676920532,141
1676920533,148
1676920534,145
1676920535,147
1676920536,147
1676920537,153
1676920538,156
1676920539,154
1676920540,157
1676920541,155
1676920542,160
1676920543,158
1676920544,161
1676920545,150
1676920546,150
1676920547,152
1676920548,151
1676920549,155
1676920550,156
1676920551,159
1676920552,157
1676920553,155
1676920554,161
1676920555,157
1676920556,158
1676920557,160
1676920558,159
1676920559,159
1676920560,158
1676920561,163
1676920562,160
1676920563,165
1676920564,164
1676920565,165
1676920566,163
1676920567,159
1676920568,158
1676920569,153
1676920570,154
1676920571,154
1676920572,156
1676920573,157
1676920574,153
1676920575,147
1676920576,149
1676920577,152
1676920578,150
1676920579,150
1676920580,163
1676920581,158
1676920582,162
1676920583,162
1676920584,160
1676920585,157
1676920586,149
1676920587,145
1676920588,144
1676920589,146
1676920590,149
1676920591,147
1676920592,144
1676920593,144
1676920594,144
1676920595,140
1676920596,142
1676920597,140
1676920598,142
1676920599,145
1676920600,148
1676920601,143
1676920602,146
1676920603,143
1676920604,141
1676920605,140
1676920606,141
1676920607,125
1676920608,127
1676920609,127
1676920610,128
1676920611,132
1676920612,133
1676920613,137
1676920614,139
1676920615,127
1676920616,131
1676920617,133
1676920618,132
1676920619,132
1676920620,132
1676920621,132
