time,FPS
1680725205,75
1680725206,76
1680725207,76
1680725208,76
1680725209,76
1680725210,76
1680725211,76
1680725212,76
1680725213,76
1680725214,75
1680725215,75
1680725216,75
1680725217,75
1680725218,77
1680725219,80
1680725220,81
1680725221,78
1680725222,65
1680725223,68
1680725224,69
1680725225,67
1680725226,65
1680725227,65
1680725228,66
1680725229,67
1680725230,65
1680725231,62
1680725232,62
1680725233,63
1680725234,63
1680725235,65
1680725236,67
1680725237,67
1680725238,65
1680725239,67
1680725240,68
1680725241,67
1680725242,68
1680725243,68
1680725244,71
1680725245,71
1680725246,72
1680725247,73
1680725248,73
1680725249,70
1680725250,70
1680725251,67
1680725252,64
1680725253,65
1680725254,65
1680725255,66
1680725256,62
1680725257,65
1680725258,64
1680725259,63
1680725260,64
1680725261,63
1680725262,66
1680725263,66
1680725264,66
1680725265,63
1680725266,62
1680725267,63
1680725268,63
1680725269,64
1680725270,65
1680725271,66
1680725272,66
1680725273,65
1680725274,66
1680725275,63
1680725276,63
1680725277,64
1680725278,64
1680725279,65
1680725280,63
1680725281,63
1680725282,62
1680725283,63
1680725284,62
1680725285,66
1680725286,65
1680725287,64
1680725288,61
1680725289,63
1680725290,62
1680725291,63
1680725292,62
1680725293,63
1680725294,64
1680725295,64
1680725296,64
1680725297,60
1680725298,61
1680725299,60
1680725300,62
1680725301,62
1680725302,68
1680725303,65
1680725304,65
1680725305,64
1680725306,64
1680725307,64
1680725308,63
1680725309,61
1680725310,60
1680725311,59
1680725312,60
1680725313,60
1680725314,59
1680725315,58
1680725316,58
1680725317,59
1680725318,58
1680725319,58
1680725320,58
1680725321,60
1680725322,61
1680725323,63
1680725324,62
1680725325,62
1680725326,59
1680725327,59
1680725328,60
1680725329,60
1680725330,60
1680725331,61
1680725332,62
1680725333,65
1680725334,69
1680725335,71
1680725336,71
1680725337,71
1680725338,62
1680725339,62
1680725340,62
1680725341,63
1680725342,63
